target,position,layer,top1_first_digit,top1_shuffled
s2,dot_7,26,0.073,0.056
answer,dot_7,27,0.082,0.081
s1,dot_7,27,0.072,0.1
s2,dot_7,27,0.09,0.058
answer,dot_7,28,0.103,0.1
s1,dot_7,28,0.067,0.079
s2,dot_7,28,0.108,0.113
answer,dot_8,0,0.029,0.029
s1,dot_8,0,0.105,0.105
s2,dot_8,0,0.003,0.003
answer,dot_8,1,0.088,0.095
s1,dot_8,1,0.097,0.107
s2,dot_8,1,0.084,0.098
answer,dot_8,2,0.164,0.157
s1,dot_8,2,0.08,0.075
s2,dot_8,2,0.153,0.174
answer,dot_8,3,0.136,0.144
s1,dot_8,3,0.083,0.089
s2,dot_8,3,0.141,0.164
answer,dot_8,4,0.135,0.16
s1,dot_8,4,0.095,0.089
s2,dot_8,4,0.135,0.17
answer,dot_8,5,0.099,0.127
s1,dot_8,5,0.08,0.086
s2,dot_8,5,0.096,0.135
answer,dot_8,6,0.096,0.112
s1,dot_8,6,0.085,0.086
s2,dot_8,6,0.101,0.133
answer,dot_8,7,0.125,0.111
s1,dot_8,7,0.09,0.101
s2,dot_8,7,0.113,0.125
answer,dot_8,8,0.106,0.107
s1,dot_8,8,0.108,0.106
s2,dot_8,8,0.096,0.121
answer,dot_8,9,0.12,0.131
s1,dot_8,9,0.099,0.071
s2,dot_8,9,0.121,0.14
answer,dot_8,10,0.095,0.11
s1,dot_8,10,0.118,0.114
s2,dot_8,10,0.091,0.115
answer,dot_8,11,0.115,0.117
s1,dot_8,11,0.081,0.076
s2,dot_8,11,0.126,0.125
answer,dot_8,12,0.111,0.145
s1,dot_8,12,0.078,0.096
s2,dot_8,12,0.137,0.134
answer,dot_8,13,0.101,0.097
s1,dot_8,13,0.113,0.105
s2,dot_8,13,0.12,0.086
answer,dot_8,14,0.095,0.094
s1,dot_8,14,0.095,0.091
s2,dot_8,14,0.084,0.095
answer,dot_8,15,0.121,0.097
s1,dot_8,15,0.084,0.089
s2,dot_8,15,0.119,0.111
answer,dot_8,16,0.095,0.087
s1,dot_8,16,0.056,0.066
s2,dot_8,16,0.094,0.115
answer,dot_8,17,0.097,0.108
s1,dot_8,17,0.081,0.059
s2,dot_8,17,0.092,0.151
answer,dot_8,18,0.072,0.095
s1,dot_8,18,0.114,0.09
s2,dot_8,18,0.056,0.114
answer,dot_8,19,0.052,0.099
s1,dot_8,19,0.108,0.088
s2,dot_8,19,0.064,0.082
answer,dot_8,20,0.1,0.109
s1,dot_8,20,0.115,0.103
s2,dot_8,20,0.111,0.116
answer,dot_8,21,0.095,0.106
s1,dot_8,21,0.081,0.091
s2,dot_8,21,0.099,0.117
answer,dot_8,22,0.085,0.111
s1,dot_8,22,0.102,0.081
s2,dot_8,22,0.081,0.129
answer,dot_8,23,0.073,0.113
s1,dot_8,23,0.095,0.087
s2,dot_8,23,0.082,0.134
answer,dot_8,24,0.07,0.133
s1,dot_8,24,0.055,0.094
s2,dot_8,24,0.1,0.147
answer,dot_8,25,0.067,0.126
s1,dot_8,25,0.057,0.092
s2,dot_8,25,0.091,0.135
answer,dot_8,26,0.053,0.14
s1,dot_8,26,0.037,0.104
s2,dot_8,26,0.079,0.14
answer,dot_8,27,0.061,0.124
s1,dot_8,27,0.07,0.088
s2,dot_8,27,0.095,0.12
answer,dot_8,28,0.085,0.103
s1,dot_8,28,0.064,0.075
s2,dot_8,28,0.103,0.128
answer,dot_9,0,0.029,0.029
s1,dot_9,0,0.105,0.105
s2,dot_9,0,0.003,0.003
answer,dot_9,1,0.081,0.109
s1,dot_9,1,0.084,0.096
s2,dot_9,1,0.091,0.092
answer,dot_9,2,0.088,0.096
s1,dot_9,2,0.112,0.117
s2,dot_9,2,0.066,0.082
answer,dot_9,3,0.096,0.105
s1,dot_9,3,0.096,0.104
s2,dot_9,3,0.092,0.121
answer,dot_9,4,0.11,0.125
s1,dot_9,4,0.092,0.081
s2,dot_9,4,0.089,0.141
answer,dot_9,5,0.088,0.124
s1,dot_9,5,0.085,0.092
s2,dot_9,5,0.087,0.129
answer,dot_9,6,0.084,0.112
s1,dot_9,6,0.112,0.077
s2,dot_9,6,0.09,0.114
answer,dot_9,7,0.12,0.11
s1,dot_9,7,0.112,0.092
s2,dot_9,7,0.111,0.107
answer,dot_9,8,0.121,0.117
s1,dot_9,8,0.109,0.08
s2,dot_9,8,0.101,0.125
answer,dot_9,9,0.111,0.114
s1,dot_9,9,0.089,0.087
s2,dot_9,9,0.109,0.111
answer,dot_9,10,0.096,0.112
s1,dot_9,10,0.117,0.105
s2,dot_9,10,0.101,0.108
answer,dot_9,11,0.1,0.117
s1,dot_9,11,0.095,0.083
s2,dot_9,11,0.108,0.099
answer,dot_9,12,0.13,0.154
s1,dot_9,12,0.078,0.093
s2,dot_9,12,0.16,0.142
answer,dot_9,13,0.11,0.108
s1,dot_9,13,0.136,0.116
s2,dot_9,13,0.112,0.097
answer,dot_9,14,0.151,0.127
s1,dot_9,14,0.112,0.09
s2,dot_9,14,0.142,0.15
answer,dot_9,15,0.134,0.11
s1,dot_9,15,0.125,0.076
s2,dot_9,15,0.11,0.117
answer,dot_9,16,0.122,0.097
s1,dot_9,16,0.111,0.06
s2,dot_9,16,0.095,0.12
answer,dot_9,17,0.119,0.093
s1,dot_9,17,0.13,0.082
s2,dot_9,17,0.078,0.105
answer,dot_9,18,0.111,0.111
s1,dot_9,18,0.127,0.073
s2,dot_9,18,0.085,0.126
answer,dot_9,19,0.103,0.125
s1,dot_9,19,0.137,0.083
s2,dot_9,19,0.094,0.152
answer,dot_9,20,0.113,0.109
s1,dot_9,20,0.121,0.088
s2,dot_9,20,0.087,0.13
answer,dot_9,21,0.099,0.09
s1,dot_9,21,0.099,0.082
s2,dot_9,21,0.075,0.089
answer,dot_9,22,0.081,0.08
s1,dot_9,22,0.13,0.067
s2,dot_9,22,0.066,0.093
answer,dot_9,23,0.076,0.098
s1,dot_9,23,0.1,0.078
s2,dot_9,23,0.07,0.11
answer,dot_9,24,0.07,0.139
s1,dot_9,24,0.072,0.076
s2,dot_9,24,0.089,0.14
answer,dot_9,25,0.056,0.134
s1,dot_9,25,0.088,0.083
s2,dot_9,25,0.074,0.136
answer,dot_9,26,0.069,0.158
s1,dot_9,26,0.057,0.093
s2,dot_9,26,0.098,0.158
answer,dot_9,27,0.069,0.117
s1,dot_9,27,0.093,0.092
s2,dot_9,27,0.079,0.118
answer,dot_9,28,0.06,0.091
s1,dot_9,28,0.075,0.081
s2,dot_9,28,0.069,0.104
answer,dot_10,0,0.029,0.029
s1,dot_10,0,0.105,0.105
s2,dot_10,0,0.003,0.003
answer,dot_10,1,0.104,0.094
s1,dot_10,1,0.075,0.102
s2,dot_10,1,0.11,0.09
answer,dot_10,2,0.114,0.101
s1,dot_10,2,0.093,0.107
s2,dot_10,2,0.104,0.108
answer,dot_10,3,0.075,0.098
s1,dot_10,3,0.121,0.116
s2,dot_10,3,0.074,0.095
answer,dot_10,4,0.099,0.116
s1,dot_10,4,0.104,0.09
s2,dot_10,4,0.097,0.134
answer,dot_10,5,0.091,0.094
s1,dot_10,5,0.094,0.084
s2,dot_10,5,0.101,0.113
answer,dot_10,6,0.094,0.101
s1,dot_10,6,0.1,0.08
s2,dot_10,6,0.081,0.112
answer,dot_10,7,0.134,0.108
s1,dot_10,7,0.079,0.086
s2,dot_10,7,0.114,0.124
answer,dot_10,8,0.103,0.107
s1,dot_10,8,0.094,0.092
s2,dot_10,8,0.108,0.103
answer,dot_10,9,0.116,0.109
s1,dot_10,9,0.091,0.099
s2,dot_10,9,0.105,0.11
answer,dot_10,10,0.095,0.102
s1,dot_10,10,0.113,0.105
s2,dot_10,10,0.087,0.102
answer,dot_10,11,0.105,0.101
s1,dot_10,11,0.107,0.089
s2,dot_10,11,0.103,0.121
answer,dot_10,12,0.144,0.175
s1,dot_10,12,0.079,0.088
s2,dot_10,12,0.175,0.158
answer,dot_10,13,0.143,0.14
s1,dot_10,13,0.127,0.111
s2,dot_10,13,0.159,0.129
answer,dot_10,14,0.139,0.138
s1,dot_10,14,0.114,0.097
s2,dot_10,14,0.125,0.14
answer,dot_10,15,0.134,0.117
s1,dot_10,15,0.107,0.07
s2,dot_10,15,0.12,0.121
answer,dot_10,16,0.117,0.107
s1,dot_10,16,0.143,0.072
s2,dot_10,16,0.092,0.112
answer,dot_10,17,0.13,0.113
s1,dot_10,17,0.134,0.074
s2,dot_10,17,0.093,0.13
answer,dot_10,18,0.119,0.102
s1,dot_10,18,0.133,0.075
s2,dot_10,18,0.092,0.134
answer,dot_10,19,0.096,0.101
s1,dot_10,19,0.14,0.075
s2,dot_10,19,0.068,0.116
answer,dot_10,20,0.091,0.113
s1,dot_10,20,0.152,0.089
s2,dot_10,20,0.064,0.105
answer,dot_10,21,0.087,0.084
s1,dot_10,21,0.136,0.103
s2,dot_10,21,0.048,0.083
answer,dot_10,22,0.079,0.084
s1,dot_10,22,0.11,0.087
s2,dot_10,22,0.062,0.087
answer,dot_10,23,0.102,0.093
s1,dot_10,23,0.121,0.084
s2,dot_10,23,0.083,0.107
answer,dot_10,24,0.08,0.117
s1,dot_10,24,0.075,0.069
s2,dot_10,24,0.104,0.123
answer,dot_10,25,0.084,0.11
s1,dot_10,25,0.086,0.08
s2,dot_10,25,0.105,0.123
answer,dot_10,26,0.085,0.128
s1,dot_10,26,0.067,0.095
s2,dot_10,26,0.116,0.142
answer,dot_10,27,0.082,0.112
s1,dot_10,27,0.091,0.084
s2,dot_10,27,0.09,0.118
answer,dot_10,28,0.1,0.102
s1,dot_10,28,0.059,0.08
s2,dot_10,28,0.112,0.114
answer,dot_11,0,0.029,0.029
s1,dot_11,0,0.105,0.105
s2,dot_11,0,0.003,0.003
answer,dot_11,1,0.079,0.09
s1,dot_11,1,0.07,0.067
s2,dot_11,1,0.077,0.073
answer,dot_11,2,0.081,0.088
s1,dot_11,2,0.099,0.079
s2,dot_11,2,0.063,0.071
answer,dot_11,3,0.087,0.11
s1,dot_11,3,0.094,0.083
s2,dot_11,3,0.081,0.104
answer,dot_11,4,0.075,0.093
s1,dot_11,4,0.091,0.083
s2,dot_11,4,0.074,0.111
answer,dot_11,5,0.108,0.122
s1,dot_11,5,0.085,0.078
s2,dot_11,5,0.103,0.148
answer,dot_11,6,0.083,0.113
s1,dot_11,6,0.106,0.08
s2,dot_11,6,0.086,0.125
answer,dot_11,7,0.121,0.115
s1,dot_11,7,0.098,0.096
s2,dot_11,7,0.113,0.116
answer,dot_11,8,0.108,0.087
s1,dot_11,8,0.092,0.083
s2,dot_11,8,0.112,0.106
answer,dot_11,9,0.126,0.11
s1,dot_11,9,0.097,0.076
s2,dot_11,9,0.117,0.119
answer,dot_11,10,0.1,0.104
s1,dot_11,10,0.135,0.095
s2,dot_11,10,0.086,0.087
answer,dot_11,11,0.079,0.096
s1,dot_11,11,0.117,0.076
s2,dot_11,11,0.086,0.106
answer,dot_11,12,0.062,0.064
s1,dot_11,12,0.119,0.098
s2,dot_11,12,0.041,0.054
answer,dot_11,13,0.072,0.079
s1,dot_11,13,0.117,0.076
s2,dot_11,13,0.071,0.068
answer,dot_11,14,0.125,0.105
s1,dot_11,14,0.087,0.072
s2,dot_11,14,0.143,0.116
answer,dot_11,15,0.077,0.085
s1,dot_11,15,0.074,0.1
s2,dot_11,15,0.096,0.085
answer,dot_11,16,0.087,0.095
s1,dot_11,16,0.084,0.085
s2,dot_11,16,0.087,0.092
answer,dot_11,17,0.064,0.067
s1,dot_11,17,0.068,0.098
s2,dot_11,17,0.062,0.071
answer,dot_11,18,0.095,0.106
s1,dot_11,18,0.099,0.084
s2,dot_11,18,0.091,0.113
answer,dot_11,19,0.11,0.115
s1,dot_11,19,0.093,0.097
s2,dot_11,19,0.113,0.128
answer,dot_11,20,0.1,0.106
s1,dot_11,20,0.117,0.098
s2,dot_11,20,0.084,0.107
answer,dot_11,21,0.127,0.132
s1,dot_11,21,0.13,0.087
s2,dot_11,21,0.117,0.132
answer,dot_11,22,0.113,0.118
s1,dot_11,22,0.133,0.081
s2,dot_11,22,0.083,0.132
answer,dot_11,23,0.084,0.1
s1,dot_11,23,0.094,0.088
s2,dot_11,23,0.074,0.106
answer,dot_11,24,0.081,0.11
s1,dot_11,24,0.071,0.079
s2,dot_11,24,0.079,0.106
answer,dot_11,25,0.068,0.082
s1,dot_11,25,0.068,0.078
s2,dot_11,25,0.062,0.09
answer,dot_11,26,0.069,0.105
s1,dot_11,26,0.068,0.091
s2,dot_11,26,0.084,0.102
answer,dot_11,27,0.076,0.084
s1,dot_11,27,0.083,0.09
s2,dot_11,27,0.07,0.087
answer,dot_11,28,0.073,0.111
s1,dot_11,28,0.091,0.084
s2,dot_11,28,0.08,0.119
answer,dot_12,0,0.029,0.029
s1,dot_12,0,0.105,0.105
s2,dot_12,0,0.003,0.003
answer,dot_12,1,0.142,0.1
s1,dot_12,1,0.067,0.067
s2,dot_12,1,0.134,0.114
answer,dot_12,2,0.109,0.087
s1,dot_12,2,0.083,0.082
s2,dot_12,2,0.088,0.084
answer,dot_12,3,0.097,0.102
s1,dot_12,3,0.071,0.08
s2,dot_12,3,0.107,0.098
answer,dot_12,4,0.092,0.087
s1,dot_12,4,0.072,0.074
s2,dot_12,4,0.085,0.098
answer,dot_12,5,0.109,0.134
s1,dot_12,5,0.071,0.085
s2,dot_12,5,0.109,0.13
answer,dot_12,6,0.065,0.102
s1,dot_12,6,0.071,0.074
s2,dot_12,6,0.067,0.1
answer,dot_12,7,0.116,0.091
s1,dot_12,7,0.085,0.081
s2,dot_12,7,0.093,0.093
answer,dot_12,8,0.115,0.093
s1,dot_12,8,0.08,0.096
s2,dot_12,8,0.106,0.098
answer,dot_12,9,0.112,0.12
s1,dot_12,9,0.116,0.083
s2,dot_12,9,0.1,0.11
answer,dot_12,10,0.107,0.108
s1,dot_12,10,0.114,0.088
s2,dot_12,10,0.096,0.092
answer,dot_12,11,0.113,0.106
s1,dot_12,11,0.111,0.079
s2,dot_12,11,0.117,0.108
answer,dot_12,12,0.076,0.082
s1,dot_12,12,0.111,0.105
s2,dot_12,12,0.075,0.08
answer,dot_12,13,0.096,0.093
s1,dot_12,13,0.117,0.108
s2,dot_12,13,0.092,0.088
answer,dot_12,14,0.144,0.125
s1,dot_12,14,0.095,0.11
s2,dot_12,14,0.135,0.115
answer,dot_12,15,0.131,0.118
s1,dot_12,15,0.098,0.089
s2,dot_12,15,0.136,0.126
answer,dot_12,16,0.148,0.116
s1,dot_12,16,0.092,0.103
s2,dot_12,16,0.158,0.146
answer,dot_12,17,0.124,0.123
s1,dot_12,17,0.115,0.111
s2,dot_12,17,0.143,0.133
answer,dot_12,18,0.102,0.088
s1,dot_12,18,0.116,0.108
s2,dot_12,18,0.104,0.089
answer,dot_12,19,0.075,0.1
s1,dot_12,19,0.117,0.096
s2,dot_12,19,0.069,0.078
answer,dot_12,20,0.094,0.092
s1,dot_12,20,0.116,0.08
s2,dot_12,20,0.078,0.089
answer,dot_12,21,0.089,0.088
s1,dot_12,21,0.126,0.101
s2,dot_12,21,0.054,0.077
answer,dot_12,22,0.128,0.115
s1,dot_12,22,0.097,0.1
s2,dot_12,22,0.103,0.12
answer,dot_12,23,0.118,0.104
s1,dot_12,23,0.09,0.077
s2,dot_12,23,0.093,0.117
answer,dot_12,24,0.105,0.104
s1,dot_12,24,0.055,0.08
s2,dot_12,24,0.118,0.121
answer,dot_12,25,0.079,0.077
s1,dot_12,25,0.071,0.089
s2,dot_12,25,0.077,0.081
answer,dot_12,26,0.088,0.114
s1,dot_12,26,0.076,0.098
s2,dot_12,26,0.096,0.106
answer,dot_12,27,0.066,0.096
s1,dot_12,27,0.082,0.095
s2,dot_12,27,0.077,0.074
answer,dot_12,28,0.11,0.15
s1,dot_12,28,0.103,0.075
s2,dot_12,28,0.125,0.203
answer,dot_13,0,0.029,0.029
s1,dot_13,0,0.105,0.105
s2,dot_13,0,0.003,0.003
answer,dot_13,1,0.103,0.087
s1,dot_13,1,0.046,0.09
s2,dot_13,1,0.116,0.1
answer,dot_13,2,0.128,0.122
s1,dot_13,2,0.058,0.106
s2,dot_13,2,0.117,0.114
answer,dot_13,3,0.098,0.108
s1,dot_13,3,0.074,0.094
s2,dot_13,3,0.085,0.109
answer,dot_13,4,0.09,0.1
s1,dot_13,4,0.095,0.072
s2,dot_13,4,0.094,0.111
answer,dot_13,5,0.102,0.106
s1,dot_13,5,0.074,0.085
s2,dot_13,5,0.091,0.107
answer,dot_13,6,0.099,0.108
s1,dot_13,6,0.097,0.072
s2,dot_13,6,0.087,0.118
answer,dot_13,7,0.122,0.098
s1,dot_13,7,0.094,0.089
s2,dot_13,7,0.098,0.112
answer,dot_13,8,0.107,0.091
s1,dot_13,8,0.1,0.087
s2,dot_13,8,0.092,0.109
answer,dot_13,9,0.113,0.105
s1,dot_13,9,0.113,0.086
s2,dot_13,9,0.096,0.116
answer,dot_13,10,0.103,0.122
s1,dot_13,10,0.108,0.088
s2,dot_13,10,0.087,0.09
answer,dot_13,11,0.109,0.137
s1,dot_13,11,0.109,0.085
s2,dot_13,11,0.123,0.108
answer,dot_13,12,0.134,0.122
s1,dot_13,12,0.098,0.089
s2,dot_13,12,0.139,0.119
answer,dot_13,13,0.13,0.11
s1,dot_13,13,0.123,0.083
s2,dot_13,13,0.117,0.098
answer,dot_13,14,0.128,0.118
s1,dot_13,14,0.087,0.084
s2,dot_13,14,0.132,0.139
answer,dot_13,15,0.136,0.129
s1,dot_13,15,0.083,0.07
s2,dot_13,15,0.163,0.153
answer,dot_13,16,0.111,0.112
s1,dot_13,16,0.075,0.081
s2,dot_13,16,0.133,0.126
answer,dot_13,17,0.147,0.141
s1,dot_13,17,0.097,0.063
s2,dot_13,17,0.155,0.162
answer,dot_13,18,0.115,0.12
s1,dot_13,18,0.122,0.075
s2,dot_13,18,0.12,0.124
answer,dot_13,19,0.103,0.129
s1,dot_13,19,0.112,0.082
s2,dot_13,19,0.11,0.127
answer,dot_13,20,0.111,0.102
s1,dot_13,20,0.094,0.086
s2,dot_13,20,0.115,0.105
answer,dot_13,21,0.105,0.102
s1,dot_13,21,0.088,0.095
s2,dot_13,21,0.095,0.098
answer,dot_13,22,0.114,0.104
s1,dot_13,22,0.087,0.087
s2,dot_13,22,0.1,0.103
answer,dot_13,23,0.139,0.143
s1,dot_13,23,0.081,0.063
s2,dot_13,23,0.144,0.126
answer,dot_13,24,0.096,0.116
s1,dot_13,24,0.088,0.084
s2,dot_13,24,0.102,0.113
answer,dot_13,25,0.082,0.094
s1,dot_13,25,0.104,0.081
s2,dot_13,25,0.094,0.098
answer,dot_13,26,0.077,0.097
s1,dot_13,26,0.113,0.108
s2,dot_13,26,0.071,0.088
answer,dot_13,27,0.07,0.077
s1,dot_13,27,0.068,0.089
s2,dot_13,27,0.061,0.068
answer,dot_13,28,0.136,0.162
s1,dot_13,28,0.108,0.073
s2,dot_13,28,0.151,0.208
answer,dot_14,0,0.029,0.029
s1,dot_14,0,0.105,0.105
s2,dot_14,0,0.003,0.003
answer,dot_14,1,0.132,0.143
s1,dot_14,1,0.039,0.047
s2,dot_14,1,0.165,0.184
answer,dot_14,2,0.139,0.142
s1,dot_14,2,0.099,0.071
s2,dot_14,2,0.14,0.178
answer,dot_14,3,0.139,0.144
s1,dot_14,3,0.086,0.073
s2,dot_14,3,0.145,0.181
answer,dot_14,4,0.132,0.149
s1,dot_14,4,0.094,0.066
s2,dot_14,4,0.134,0.173
answer,dot_14,5,0.123,0.127
s1,dot_14,5,0.092,0.094
s2,dot_14,5,0.107,0.143
answer,dot_14,6,0.113,0.113
s1,dot_14,6,0.099,0.075
s2,dot_14,6,0.098,0.125
answer,dot_14,7,0.122,0.118
s1,dot_14,7,0.099,0.098
s2,dot_14,7,0.101,0.116
answer,dot_14,8,0.124,0.11
s1,dot_14,8,0.098,0.092
s2,dot_14,8,0.097,0.116
answer,dot_14,9,0.13,0.131
s1,dot_14,9,0.125,0.093
s2,dot_14,9,0.105,0.111
answer,dot_14,10,0.101,0.109
s1,dot_14,10,0.134,0.094
s2,dot_14,10,0.076,0.098
answer,dot_14,11,0.11,0.109
s1,dot_14,11,0.102,0.084
s2,dot_14,11,0.095,0.096
answer,dot_14,12,0.116,0.135
s1,dot_14,12,0.081,0.089
s2,dot_14,12,0.114,0.12
answer,dot_14,13,0.101,0.109
s1,dot_14,13,0.104,0.093
s2,dot_14,13,0.078,0.089
answer,dot_14,14,0.088,0.097
s1,dot_14,14,0.098,0.094
s2,dot_14,14,0.087,0.097
answer,dot_14,15,0.098,0.103
s1,dot_14,15,0.092,0.085
s2,dot_14,15,0.08,0.096
answer,dot_14,16,0.115,0.143
s1,dot_14,16,0.097,0.079
s2,dot_14,16,0.116,0.144
answer,dot_14,17,0.105,0.114
s1,dot_14,17,0.12,0.089
s2,dot_14,17,0.086,0.119
answer,dot_14,18,0.105,0.116
s1,dot_14,18,0.114,0.088
s2,dot_14,18,0.082,0.13
answer,dot_14,19,0.091,0.115
s1,dot_14,19,0.107,0.092
s2,dot_14,19,0.084,0.111
answer,dot_14,20,0.084,0.103
s1,dot_14,20,0.1,0.085
s2,dot_14,20,0.075,0.102
answer,dot_14,21,0.093,0.088
s1,dot_14,21,0.082,0.09
s2,dot_14,21,0.074,0.095
answer,dot_14,22,0.114,0.113
s1,dot_14,22,0.056,0.075
s2,dot_14,22,0.106,0.113
answer,dot_14,23,0.14,0.124
s1,dot_14,23,0.08,0.092
s2,dot_14,23,0.123,0.143
answer,dot_14,24,0.082,0.083
s1,dot_14,24,0.057,0.098
s2,dot_14,24,0.082,0.094
answer,dot_14,25,0.068,0.091
s1,dot_14,25,0.063,0.103
s2,dot_14,25,0.063,0.09
answer,dot_14,26,0.054,0.09
s1,dot_14,26,0.049,0.111
s2,dot_14,26,0.047,0.073
answer,dot_14,27,0.063,0.081
s1,dot_14,27,0.073,0.1
s2,dot_14,27,0.066,0.074
answer,dot_14,28,0.134,0.146
s1,dot_14,28,0.073,0.066
s2,dot_14,28,0.158,0.193
answer,dot_15,0,0.029,0.029
s1,dot_15,0,0.105,0.105
s2,dot_15,0,0.003,0.003
answer,dot_15,1,0.077,0.101
s1,dot_15,1,0.072,0.063
s2,dot_15,1,0.084,0.114
answer,dot_15,2,0.09,0.099
s1,dot_15,2,0.103,0.085
s2,dot_15,2,0.094,0.118
answer,dot_15,3,0.121,0.145
s1,dot_15,3,0.079,0.084
s2,dot_15,3,0.137,0.178
answer,dot_15,4,0.135,0.16
s1,dot_15,4,0.102,0.078
s2,dot_15,4,0.139,0.19
answer,dot_15,5,0.105,0.144
s1,dot_15,5,0.108,0.078
s2,dot_15,5,0.094,0.149
answer,dot_15,6,0.087,0.114
s1,dot_15,6,0.108,0.076
s2,dot_15,6,0.088,0.134
answer,dot_15,7,0.128,0.133
s1,dot_15,7,0.104,0.075
s2,dot_15,7,0.117,0.128
answer,dot_15,8,0.114,0.111
s1,dot_15,8,0.113,0.078
s2,dot_15,8,0.1,0.111
answer,dot_15,9,0.111,0.11
s1,dot_15,9,0.119,0.085
s2,dot_15,9,0.108,0.119
answer,dot_15,10,0.086,0.114
s1,dot_15,10,0.131,0.101
s2,dot_15,10,0.09,0.099
answer,dot_15,11,0.088,0.109
s1,dot_15,11,0.108,0.09
s2,dot_15,11,0.08,0.092
answer,dot_15,12,0.113,0.147
s1,dot_15,12,0.087,0.086
s2,dot_15,12,0.126,0.15
answer,dot_15,13,0.104,0.103
s1,dot_15,13,0.122,0.097
s2,dot_15,13,0.098,0.103
answer,dot_15,14,0.107,0.116
s1,dot_15,14,0.093,0.093
s2,dot_15,14,0.095,0.108
answer,dot_15,15,0.143,0.153
s1,dot_15,15,0.096,0.076
s2,dot_15,15,0.137,0.148
answer,dot_15,16,0.097,0.14
s1,dot_15,16,0.11,0.074
s2,dot_15,16,0.102,0.133
answer,dot_15,17,0.098,0.117
s1,dot_15,17,0.097,0.1
s2,dot_15,17,0.091,0.122
answer,dot_15,18,0.121,0.146
s1,dot_15,18,0.113,0.085
s2,dot_15,18,0.115,0.146
answer,dot_15,19,0.113,0.15
s1,dot_15,19,0.109,0.076
s2,dot_15,19,0.131,0.155
answer,dot_15,20,0.11,0.107
s1,dot_15,20,0.091,0.092
s2,dot_15,20,0.11,0.105
answer,dot_15,21,0.087,0.089
s1,dot_15,21,0.069,0.075
s2,dot_15,21,0.084,0.084
answer,dot_15,22,0.134,0.104
s1,dot_15,22,0.05,0.082
s2,dot_15,22,0.12,0.107
answer,dot_15,23,0.136,0.12
s1,dot_15,23,0.068,0.099
s2,dot_15,23,0.137,0.135
answer,dot_15,24,0.121,0.133
s1,dot_15,24,0.079,0.084
s2,dot_15,24,0.126,0.151
answer,dot_15,25,0.085,0.107
s1,dot_15,25,0.108,0.097
s2,dot_15,25,0.103,0.098
answer,dot_15,26,0.094,0.092
s1,dot_15,26,0.088,0.099
s2,dot_15,26,0.104,0.103
answer,dot_15,27,0.062,0.072
s1,dot_15,27,0.093,0.094
s2,dot_15,27,0.06,0.075
answer,dot_15,28,0.131,0.141
s1,dot_15,28,0.099,0.085
s2,dot_15,28,0.144,0.192
answer,dot_16,0,0.029,0.029
s1,dot_16,0,0.105,0.105
s2,dot_16,0,0.003,0.003
answer,dot_16,1,0.052,0.078
s1,dot_16,1,0.055,0.069
s2,dot_16,1,0.067,0.077
answer,dot_16,2,0.086,0.092
s1,dot_16,2,0.078,0.087
s2,dot_16,2,0.085,0.086
answer,dot_16,3,0.072,0.107
s1,dot_16,3,0.099,0.089
s2,dot_16,3,0.082,0.101
answer,dot_16,4,0.074,0.102
s1,dot_16,4,0.118,0.098
s2,dot_16,4,0.076,0.129
answer,dot_16,5,0.079,0.127
s1,dot_16,5,0.103,0.09
s2,dot_16,5,0.091,0.115
answer,dot_16,6,0.079,0.114
s1,dot_16,6,0.098,0.081
s2,dot_16,6,0.089,0.128
answer,dot_16,7,0.124,0.133
s1,dot_16,7,0.101,0.087
s2,dot_16,7,0.128,0.148
answer,dot_16,8,0.109,0.103
s1,dot_16,8,0.106,0.097
s2,dot_16,8,0.11,0.124
answer,dot_16,9,0.121,0.128
s1,dot_16,9,0.098,0.081
s2,dot_16,9,0.126,0.16
answer,dot_16,10,0.079,0.112
s1,dot_16,10,0.121,0.095
s2,dot_16,10,0.08,0.091
answer,dot_16,11,0.095,0.098
s1,dot_16,11,0.103,0.094
s2,dot_16,11,0.079,0.096
answer,dot_16,12,0.117,0.133
s1,dot_16,12,0.109,0.082
s2,dot_16,12,0.128,0.151
answer,dot_16,13,0.12,0.115
s1,dot_16,13,0.135,0.102
s2,dot_16,13,0.116,0.11
answer,dot_16,14,0.131,0.135
s1,dot_16,14,0.116,0.079
s2,dot_16,14,0.118,0.127
answer,dot_16,15,0.14,0.144
s1,dot_16,15,0.118,0.087
s2,dot_16,15,0.127,0.144
answer,dot_16,16,0.117,0.134
s1,dot_16,16,0.125,0.063
s2,dot_16,16,0.111,0.141
answer,dot_16,17,0.122,0.121
s1,dot_16,17,0.127,0.091
s2,dot_16,17,0.111,0.125
answer,dot_16,18,0.129,0.119
s1,dot_16,18,0.12,0.079
s2,dot_16,18,0.11,0.152
answer,dot_16,19,0.115,0.109
s1,dot_16,19,0.124,0.078
s2,dot_16,19,0.101,0.116
answer,dot_16,20,0.09,0.103
s1,dot_16,20,0.107,0.085
s2,dot_16,20,0.083,0.094
answer,dot_16,21,0.119,0.111
s1,dot_16,21,0.085,0.082
s2,dot_16,21,0.095,0.106
answer,dot_16,22,0.109,0.105
s1,dot_16,22,0.087,0.085
s2,dot_16,22,0.082,0.119
answer,dot_16,23,0.067,0.075
s1,dot_16,23,0.091,0.091
s2,dot_16,23,0.065,0.091
answer,dot_16,24,0.043,0.125
