target,position,layer,top1_first_digit,top1_shuffled
answer,dot_0,24,0.141,0.123
s1,dot_0,24,0.097,0.09
s2,dot_0,24,0.141,0.128
answer,dot_0,25,0.19,0.166
s1,dot_0,25,0.08,0.081
s2,dot_0,25,0.196,0.182
answer,dot_0,26,0.091,0.084
s1,dot_0,26,0.09,0.106
s2,dot_0,26,0.085,0.085
answer,dot_0,27,0.083,0.111
s1,dot_0,27,0.066,0.097
s2,dot_0,27,0.107,0.114
answer,dot_0,28,0.108,0.129
s1,dot_0,28,0.088,0.079
s2,dot_0,28,0.115,0.164
answer,dot_1,0,0.029,0.029
s1,dot_1,0,0.105,0.105
s2,dot_1,0,0.003,0.003
answer,dot_1,1,0.059,0.067
s1,dot_1,1,0.109,0.098
s2,dot_1,1,0.041,0.074
answer,dot_1,2,0.131,0.137
s1,dot_1,2,0.082,0.081
s2,dot_1,2,0.129,0.158
answer,dot_1,3,0.123,0.172
s1,dot_1,3,0.103,0.093
s2,dot_1,3,0.126,0.176
answer,dot_1,4,0.096,0.109
s1,dot_1,4,0.11,0.087
s2,dot_1,4,0.097,0.127
answer,dot_1,5,0.111,0.134
s1,dot_1,5,0.104,0.078
s2,dot_1,5,0.112,0.138
answer,dot_1,6,0.095,0.105
s1,dot_1,6,0.099,0.081
s2,dot_1,6,0.104,0.123
answer,dot_1,7,0.116,0.11
s1,dot_1,7,0.117,0.092
s2,dot_1,7,0.116,0.108
answer,dot_1,8,0.112,0.114
s1,dot_1,8,0.121,0.086
s2,dot_1,8,0.122,0.122
answer,dot_1,9,0.158,0.145
s1,dot_1,9,0.122,0.104
s2,dot_1,9,0.147,0.148
answer,dot_1,10,0.109,0.11
s1,dot_1,10,0.104,0.081
s2,dot_1,10,0.107,0.113
answer,dot_1,11,0.13,0.127
s1,dot_1,11,0.063,0.071
s2,dot_1,11,0.148,0.138
answer,dot_1,12,0.12,0.116
s1,dot_1,12,0.068,0.08
s2,dot_1,12,0.125,0.133
answer,dot_1,13,0.115,0.135
s1,dot_1,13,0.074,0.092
s2,dot_1,13,0.149,0.131
answer,dot_1,14,0.097,0.098
s1,dot_1,14,0.086,0.096
s2,dot_1,14,0.1,0.103
answer,dot_1,15,0.103,0.118
s1,dot_1,15,0.101,0.082
s2,dot_1,15,0.098,0.123
answer,dot_1,16,0.1,0.107
s1,dot_1,16,0.092,0.073
s2,dot_1,16,0.095,0.111
answer,dot_1,17,0.075,0.098
s1,dot_1,17,0.12,0.092
s2,dot_1,17,0.072,0.106
answer,dot_1,18,0.111,0.108
s1,dot_1,18,0.134,0.081
s2,dot_1,18,0.091,0.114
answer,dot_1,19,0.07,0.089
s1,dot_1,19,0.152,0.099
s2,dot_1,19,0.049,0.091
answer,dot_1,20,0.106,0.117
s1,dot_1,20,0.078,0.068
s2,dot_1,20,0.097,0.136
answer,dot_1,21,0.11,0.132
s1,dot_1,21,0.125,0.089
s2,dot_1,21,0.101,0.143
answer,dot_1,22,0.091,0.116
s1,dot_1,22,0.103,0.059
s2,dot_1,22,0.086,0.131
answer,dot_1,23,0.103,0.135
s1,dot_1,23,0.099,0.073
