target,position,layer,r2,r2_shuffled,r2_random
answer~nonlin,dot_0,14,0.021068293432375818,-0.007829986373030007,0.007460626289755412
s1~nonlin,dot_0,14,0.6989167562479698,-0.005508672832851058,0.648694484945777
s2~nonlin,dot_0,14,0.02106829343237604,-0.006447113428493134,0.007460626289755412
answer,dot_0,16,0.921772421324565,-0.0016979454546919293,0.7460400901674589
s1,dot_0,16,0.9683949155670168,-0.008257703723888898,0.8938535772277983
s2,dot_0,16,0.9279103507283637,-0.020292609970567144,0.7436647089993407
answer~nonlin,dot_0,16,0.01786582689441696,-0.007773985396877459,0.016498896322990064
s1~nonlin,dot_0,16,0.6939841640351039,-0.0070383356383345586,0.6412598466331496
s2~nonlin,dot_0,16,0.01786582689441696,-0.0038088585429723043,0.016498896322990286
answer,dot_0,18,0.9141005886399782,-0.0002538596456695963,0.7174826170701101
s1,dot_0,18,0.9689813770708419,-0.007452350250062523,0.8779330747860994
s2,dot_0,18,0.9172590426475244,-0.020110859900470013,0.7397637594653907
answer~nonlin,dot_0,18,0.02797154576467531,-0.009204945556028798,0.012348842858139197
s1~nonlin,dot_0,18,0.6954847252584047,-0.006887660163442222,0.612273610374809
s2~nonlin,dot_0,18,0.027971545764675643,-0.00428972825574947,0.01234884285813942
answer,dot_0,20,0.9025092929701978,-0.001244848068500115,0.6952624548191979
s1,dot_0,20,0.9602331538815924,-0.007616968131932911,0.8424383656643464
s2,dot_0,20,0.9054813858975909,-0.02192480458424262,0.7053299930443087
answer~nonlin,dot_0,20,-0.0005838828000048757,-0.011280458062331356,-0.0027677483906263234
s1~nonlin,dot_0,20,0.6825744734220109,-0.005101596476398074,0.5874241961884172
s2~nonlin,dot_0,20,-0.0005838828000044316,-0.00219851697452067,-0.0027677483906261013
answer,dot_0,22,0.9044381457645354,-0.000932659486777565,0.6867667279683098
s1,dot_0,22,0.9577048255121875,-0.0080248800223357,0.8249398436043096
s2,dot_0,22,0.9111608537356211,-0.02075568921509774,0.6969339519357145
answer~nonlin,dot_0,22,-0.005907925688884097,-0.011260715485952533,-0.004868221375130322
s1~nonlin,dot_0,22,0.6736218975775808,-0.005979792979750709,0.5722513915957468
s2~nonlin,dot_0,22,-0.005907925688884097,-0.003950221657850639,-0.004868221375130322
answer,dot_0,24,0.9214497500957243,-0.001012977903143586,0.7082148525710765
s1,dot_0,24,0.9625778086807414,-0.004800142077960645,0.8814458745557517
s2,dot_0,24,0.9279433604062252,-0.01831223286180661,0.7420769772692482
answer~nonlin,dot_0,24,-0.0007837941328727727,-0.013559658304863165,-0.007027952468720011
s1~nonlin,dot_0,24,0.6913716222319242,-0.005802641398118036,0.6314633987084018
s2~nonlin,dot_0,24,-0.0007837941328727727,-0.006304387345812179,-0.007027952468720011
answer,dot_0,26,0.90966685666831,0.00022753607311976065,0.7348210711938893
s1,dot_0,26,0.9572053618649367,-0.005339516719229831,0.8551606049533363
s2,dot_0,26,0.9213047297051817,-0.017425056100603298,0.779057918905595
answer~nonlin,dot_0,26,0.0023926427417007012,-0.013095723401740145,0.01872137785239769
s1~nonlin,dot_0,26,0.6861853271546678,-0.0057566642676265545,0.5809803951104009
s2~nonlin,dot_0,26,0.0023926427417009233,-0.0061207090013541965,0.01872137785239769
answer,dot_0,28,0.8890843269769316,-0.0010330350240932429,0.7392615020118548
s1,dot_0,28,0.9473486668405523,-0.006906876679638296,0.8312183033153634
s2,dot_0,28,0.9054070994710997,-0.01683765942677562,0.7719792408945316
answer~nonlin,dot_0,28,0.006961747405477392,-0.014044157367310017,0.003701720419296173
s1~nonlin,dot_0,28,0.6765335957596681,-0.005487258559881969,0.6045230199713731
s2~nonlin,dot_0,28,0.006961747405477392,-0.005939768877398777,0.003701720419296173
answer,dot_6,0,-0.0048675607623573924,-0.002855730932946887,-0.004867560511782276
s1,dot_6,0,-0.00293969799723226,-0.0026852651338342692,-0.002939692562290208
s2,dot_6,0,-0.005703882928610682,-0.002405033821267777,-0.00570387390184357
answer~nonlin,dot_6,0,-0.0031168368295817483,-0.0034567765999091726,-0.003116836814188728
s1~nonlin,dot_6,0,-0.00044893543823532056,-0.001255450368863098,-0.0004489350842189488
s2~nonlin,dot_6,0,-0.0031168368295815263,-0.0006806065207818346,-0.003116836814188728
answer,dot_6,2,0.9192207286230092,0.0010917059184969435,0.6566481010594327
s1,dot_6,2,0.9535131779799073,-0.001777798604202907,0.6761564222159464
s2,dot_6,2,0.9257267567714696,-0.009683918624972199,0.6975164002394414
answer~nonlin,dot_6,2,-0.008437814308043468,-0.0034844788391903414,-0.009930253545352485
s1~nonlin,dot_6,2,0.6780569456055505,-0.007425006894457242,0.49131779474073356
s2~nonlin,dot_6,2,-0.008437814308043468,-0.008527430958216842,-0.009930253545352263
answer,dot_6,4,0.9321386754443518,-0.002503408280371211,0.6214335002932494
s1,dot_6,4,0.9715491145991627,-0.00254353578123534,0.7560151580503119
s2,dot_6,4,0.9416076122176201,-0.00803795344073377,0.683126985712034
answer~nonlin,dot_6,4,-0.015905742370921017,-0.007221578496303227,-0.008204621727622818
s1~nonlin,dot_6,4,0.7180955450423046,-0.008388518928191147,0.6246354794414055
s2~nonlin,dot_6,4,-0.015905742370921017,-0.007079752156285535,-0.008204621727622818
answer,dot_6,6,0.916536145858842,-0.0075874587626374446,0.703012389099021
s1,dot_6,6,0.9733496872573557,-0.008097678003928799,0.8389113371613154
s2,dot_6,6,0.9262801107859315,-0.012968821455944912,0.7362402105978008
answer~nonlin,dot_6,6,-0.011559524712533076,-0.0107064044231302,-0.004438899141632868
s1~nonlin,dot_6,6,0.705696878720494,-0.00902329300286464,0.6054998546036339
s2~nonlin,dot_6,6,-0.011559524712533298,-0.007213996991158211,-0.004438899141632868
answer,dot_6,8,0.8969773537842689,-0.008339319857031624,0.6912480575032223
s1,dot_6,8,0.9600879334014368,-0.007928636576501225,0.8254638534215624
s2,dot_6,8,0.9085472797577686,-0.01385752186727296,0.7195526284959695
answer~nonlin,dot_6,8,0.008390974608512125,-0.008894437522429799,-0.003064770200634559
s1~nonlin,dot_6,8,0.6907838614568813,-0.008310506931057393,0.5837997349823225
s2~nonlin,dot_6,8,0.008390974608512125,-0.006490460038439005,-0.003064770200634559
answer,dot_6,10,0.9262018527351298,-0.008153582147791605,0.8043255900113557
s1,dot_6,10,0.9678284200069588,-0.010654680493895174,0.8737121525805344
s2,dot_6,10,0.9325124372889785,-0.014445716107900575,0.8309476595651315
answer~nonlin,dot_6,10,0.015948716611845493,-0.00950484519022221,0.016969690615472932
s1~nonlin,dot_6,10,0.721309452638227,-0.0016951626323102875,0.6473885974830287
s2~nonlin,dot_6,10,0.015948716611845493,-0.006428499244840902,0.016969690615473154
answer,dot_6,12,0.9131939688134733,-0.006217507955764923,0.7161254193382538
s1,dot_6,12,0.9601826417761219,-0.008976660306549533,0.8317689421533635
s2,dot_6,12,0.9235083746969905,-0.011527606648558786,0.7532810627297727
answer~nonlin,dot_6,12,0.02046825929316709,-0.009478016762761055,0.028268205213903386
s1~nonlin,dot_6,12,0.7150506969170437,-0.004966534223978192,0.6230392006999602
s2~nonlin,dot_6,12,0.02046825929316709,-0.007029998508907509,0.028268205213903164
answer,dot_6,14,0.8943554992063202,-0.0085001052369309,0.7267128772007675
s1,dot_6,14,0.9497211767950777,-0.009551823713889629,0.8344487370619923
s2,dot_6,14,0.9085657675578975,-0.014989262455383567,0.75717915359799
answer~nonlin,dot_6,14,0.018669480308636244,-0.00951798983239538,-0.005346969153492864
s1~nonlin,dot_6,14,0.7005257721574267,-0.005075261145113252,0.6382688879895189
s2~nonlin,dot_6,14,0.018669480308636244,-0.00580891116423321,-0.005346969153492864
answer,dot_6,16,0.9212593177531783,-0.006284067477467348,0.6679635369501006
s1,dot_6,16,0.9498025223597406,-0.015819314512506066,0.7666083322486155
s2,dot_6,16,0.9321315906036107,-0.013744899790913534,0.7111068378648746
answer~nonlin,dot_6,16,0.003915936492580485,-0.007026564287372361,0.015175346611805862
s1~nonlin,dot_6,16,0.6979124167501409,-0.00825168370352114,0.6243424810836413
s2~nonlin,dot_6,16,0.003915936492580485,-0.001435841324165743,0.015175346611805751
answer,dot_6,18,0.9225678466443248,-0.0021126310300516593,0.749997396658524
s1,dot_6,18,0.9551710177971026,-0.010074058042017775,0.8275286427095435
s2,dot_6,18,0.928828346275432,-0.017581076386110617,0.7599872234475086
answer~nonlin,dot_6,18,0.009414922895644717,-0.004656319907325512,0.01234328751563396
s1~nonlin,dot_6,18,0.6939759767109482,-0.007355318466280902,0.6137615230876253
s2~nonlin,dot_6,18,0.009414922895644717,-0.002109414592231129,0.012343287515633738
answer,dot_6,20,0.9079754800978342,-0.0019651267887916823,0.7606434282741193
s1,dot_6,20,0.9461544633755108,-0.014497786723494333,0.8102885707597055
s2,dot_6,20,0.9162551971351236,-0.017152626324604014,0.7782762035247317
answer~nonlin,dot_6,20,0.007919829563010183,-0.004406726828252605,0.0002293928134485812
s1~nonlin,dot_6,20,0.6930872976249609,-0.006029263482093761,0.5653021208121571
s2~nonlin,dot_6,20,0.007919829563010183,-0.0009088395215406386,0.0002293928134485812
answer,dot_6,22,0.8994515552899515,-0.0004972836847743078,0.7191070580287511
s1,dot_6,22,0.9390176033116935,-0.01770858942097453,0.798989374595393
s2,dot_6,22,0.9110713550850917,-0.018563304401742364,0.7399871201887633
answer~nonlin,dot_6,22,0.004964471412108651,-0.004438640521922554,-0.00770778247732351
s1~nonlin,dot_6,22,0.6832423762541949,-0.005140424820864631,0.5866951518600376
s2~nonlin,dot_6,22,0.004964471412108651,-0.0034717908553578702,-0.00770778247732351
answer,dot_6,24,0.9077853456154826,0.0007219495432320144,0.7688535429722485
s1,dot_6,24,0.9455478023645177,-0.011005857888159332,0.8346663987860075
s2,dot_6,24,0.919894986058862,-0.016534784849712825,0.7953996074402931
answer~nonlin,dot_6,24,0.005263020800254425,0.0002732574619926931,-0.004982496037122308
s1~nonlin,dot_6,24,0.6928997190332677,-0.005480467504695108,0.6222925698301689
s2~nonlin,dot_6,24,0.005263020800254203,-0.0025958476289962285,-0.004982496037122308
answer,dot_6,26,0.9021860876140584,0.0008943613224073887,0.7666660903405806
s1,dot_6,26,0.9490353790083069,-0.010848873707001161,0.8056590235271683
s2,dot_6,26,0.9160968950290236,-0.012388972173497104,0.7918882863554532
answer~nonlin,dot_6,26,-0.0004526407477205563,-0.0014001884897205663,-0.005146666344027606
s1~nonlin,dot_6,26,0.7048616483001705,-0.006403598417441314,0.6020283232894086
s2~nonlin,dot_6,26,-0.0004526407477205563,-0.002478778353706357,-0.005146666344027384
