target,position,layer,top1_first_digit,top1_shuffled
c2y,dot_4,10,0.087,0.1
answer,dot_4,11,0.097,0.105
x,dot_4,11,0.101,0.099
c1x,dot_4,11,0.085,0.105
y,dot_4,11,0.086,0.115
c2y,dot_4,11,0.1,0.101
answer,dot_4,12,0.098,0.103
x,dot_4,12,0.102,0.106
c1x,dot_4,12,0.084,0.102
y,dot_4,12,0.085,0.117
c2y,dot_4,12,0.106,0.094
answer,dot_4,13,0.117,0.103
x,dot_4,13,0.095,0.102
c1x,dot_4,13,0.096,0.118
y,dot_4,13,0.094,0.109
c2y,dot_4,13,0.116,0.104
answer,dot_4,14,0.099,0.098
x,dot_4,14,0.073,0.081
c1x,dot_4,14,0.109,0.127
y,dot_4,14,0.13,0.124
c2y,dot_4,14,0.102,0.093
answer,dot_4,15,0.102,0.091
x,dot_4,15,0.094,0.095
c1x,dot_4,15,0.1,0.099
y,dot_4,15,0.098,0.087
c2y,dot_4,15,0.111,0.083
answer,dot_4,16,0.103,0.085
x,dot_4,16,0.1,0.105
c1x,dot_4,16,0.09,0.109
y,dot_4,16,0.09,0.091
c2y,dot_4,16,0.109,0.078
answer,dot_4,17,0.105,0.087
x,dot_4,17,0.085,0.096
c1x,dot_4,17,0.079,0.098
y,dot_4,17,0.08,0.097
c2y,dot_4,17,0.108,0.099
answer,dot_4,18,0.112,0.108
x,dot_4,18,0.098,0.116
c1x,dot_4,18,0.108,0.122
y,dot_4,18,0.104,0.111
c2y,dot_4,18,0.113,0.103
answer,dot_4,19,0.106,0.094
x,dot_4,19,0.088,0.1
c1x,dot_4,19,0.098,0.106
y,dot_4,19,0.099,0.123
c2y,dot_4,19,0.106,0.109
answer,dot_4,20,0.105,0.097
x,dot_4,20,0.095,0.088
c1x,dot_4,20,0.1,0.11
y,dot_4,20,0.109,0.098
c2y,dot_4,20,0.109,0.113
answer,dot_4,21,0.116,0.106
x,dot_4,21,0.087,0.1
c1x,dot_4,21,0.112,0.125
y,dot_4,21,0.106,0.115
c2y,dot_4,21,0.115,0.1
answer,dot_4,22,0.088,0.09
x,dot_4,22,0.095,0.084
c1x,dot_4,22,0.117,0.109
y,dot_4,22,0.108,0.107
c2y,dot_4,22,0.09,0.098
answer,dot_4,23,0.08,0.119
x,dot_4,23,0.103,0.107
c1x,dot_4,23,0.129,0.126
y,dot_4,23,0.145,0.133
c2y,dot_4,23,0.085,0.095
answer,dot_4,24,0.108,0.106
x,dot_4,24,0.203,0.104
c1x,dot_4,24,0.126,0.141
y,dot_4,24,0.137,0.144
c2y,dot_4,24,0.101,0.108
answer,dot_4,25,0.108,0.099
x,dot_4,25,0.155,0.087
c1x,dot_4,25,0.095,0.116
y,dot_4,25,0.107,0.11
c2y,dot_4,25,0.097,0.098
answer,dot_4,26,0.117,0.123
x,dot_4,26,0.291,0.105
c1x,dot_4,26,0.096,0.129
y,dot_4,26,0.1,0.119
c2y,dot_4,26,0.115,0.114
answer,dot_4,27,0.099,0.116
x,dot_4,27,0.242,0.113
c1x,dot_4,27,0.088,0.128
y,dot_4,27,0.088,0.109
c2y,dot_4,27,0.103,0.106
answer,dot_4,28,0.101,0.093
x,dot_4,28,0.189,0.095
c1x,dot_4,28,0.11,0.123
y,dot_4,28,0.103,0.116
c2y,dot_4,28,0.097,0.082
answer,dot_5,0,0.195,0.195
x,dot_5,0,0.127,0.127
c1x,dot_5,0,0.045,0.045
y,dot_5,0,0.048,0.048
c2y,dot_5,0,0.188,0.188
answer,dot_5,1,0.115,0.122
x,dot_5,1,0.114,0.082
c1x,dot_5,1,0.098,0.102
y,dot_5,1,0.104,0.103
c2y,dot_5,1,0.105,0.105
answer,dot_5,2,0.097,0.119
x,dot_5,2,0.098,0.08
c1x,dot_5,2,0.125,0.115
y,dot_5,2,0.118,0.121
c2y,dot_5,2,0.097,0.118
answer,dot_5,3,0.091,0.108
x,dot_5,3,0.091,0.093
c1x,dot_5,3,0.138,0.131
y,dot_5,3,0.129,0.129
c2y,dot_5,3,0.093,0.099
answer,dot_5,4,0.1,0.091
x,dot_5,4,0.094,0.081
c1x,dot_5,4,0.141,0.117
y,dot_5,4,0.129,0.137
c2y,dot_5,4,0.1,0.11
answer,dot_5,5,0.12,0.087
x,dot_5,5,0.108,0.097
c1x,dot_5,5,0.13,0.108
y,dot_5,5,0.118,0.106
c2y,dot_5,5,0.115,0.118
answer,dot_5,6,0.104,0.098
x,dot_5,6,0.092,0.101
c1x,dot_5,6,0.116,0.124
y,dot_5,6,0.125,0.119
c2y,dot_5,6,0.096,0.097
answer,dot_5,7,0.104,0.1
x,dot_5,7,0.091,0.095
c1x,dot_5,7,0.132,0.127
y,dot_5,7,0.136,0.141
c2y,dot_5,7,0.101,0.093
answer,dot_5,8,0.103,0.078
x,dot_5,8,0.102,0.087
c1x,dot_5,8,0.084,0.092
y,dot_5,8,0.092,0.104
c2y,dot_5,8,0.099,0.088
answer,dot_5,9,0.076,0.09
x,dot_5,9,0.111,0.084
c1x,dot_5,9,0.102,0.084
y,dot_5,9,0.105,0.087
c2y,dot_5,9,0.07,0.099
answer,dot_5,10,0.099,0.077
x,dot_5,10,0.11,0.092
c1x,dot_5,10,0.091,0.107
y,dot_5,10,0.1,0.093
c2y,dot_5,10,0.098,0.095
answer,dot_5,11,0.1,0.102
x,dot_5,11,0.099,0.094
c1x,dot_5,11,0.115,0.11
y,dot_5,11,0.104,0.116
c2y,dot_5,11,0.089,0.093
answer,dot_5,12,0.118,0.092
x,dot_5,12,0.094,0.103
c1x,dot_5,12,0.105,0.118
y,dot_5,12,0.094,0.122
c2y,dot_5,12,0.109,0.096
answer,dot_5,13,0.11,0.09
x,dot_5,13,0.096,0.099
c1x,dot_5,13,0.112,0.105
y,dot_5,13,0.112,0.115
c2y,dot_5,13,0.106,0.097
answer,dot_5,14,0.11,0.104
x,dot_5,14,0.086,0.091
c1x,dot_5,14,0.104,0.109
y,dot_5,14,0.091,0.091
c2y,dot_5,14,0.106,0.092
answer,dot_5,15,0.136,0.1
x,dot_5,15,0.1,0.108
c1x,dot_5,15,0.104,0.094
y,dot_5,15,0.096,0.099
c2y,dot_5,15,0.13,0.108
answer,dot_5,16,0.132,0.094
x,dot_5,16,0.092,0.103
c1x,dot_5,16,0.111,0.105
y,dot_5,16,0.108,0.112
c2y,dot_5,16,0.122,0.09
answer,dot_5,17,0.128,0.105
x,dot_5,17,0.093,0.098
c1x,dot_5,17,0.102,0.092
y,dot_5,17,0.092,0.099
c2y,dot_5,17,0.119,0.117
answer,dot_5,18,0.129,0.104
x,dot_5,18,0.096,0.092
c1x,dot_5,18,0.107,0.094
y,dot_5,18,0.114,0.098
c2y,dot_5,18,0.118,0.129
answer,dot_5,19,0.124,0.108
x,dot_5,19,0.093,0.098
c1x,dot_5,19,0.129,0.129
y,dot_5,19,0.126,0.117
c2y,dot_5,19,0.119,0.125
answer,dot_5,20,0.143,0.128
x,dot_5,20,0.096,0.101
c1x,dot_5,20,0.123,0.134
y,dot_5,20,0.125,0.108
c2y,dot_5,20,0.136,0.132
answer,dot_5,21,0.15,0.134
x,dot_5,21,0.085,0.106
c1x,dot_5,21,0.129,0.142
y,dot_5,21,0.125,0.139
c2y,dot_5,21,0.142,0.123
answer,dot_5,22,0.136,0.118
x,dot_5,22,0.081,0.106
c1x,dot_5,22,0.156,0.154
y,dot_5,22,0.156,0.17
c2y,dot_5,22,0.134,0.119
answer,dot_5,23,0.109,0.097
x,dot_5,23,0.091,0.107
c1x,dot_5,23,0.131,0.129
y,dot_5,23,0.14,0.145
c2y,dot_5,23,0.107,0.095
answer,dot_5,24,0.106,0.1
x,dot_5,24,0.151,0.096
c1x,dot_5,24,0.102,0.119
y,dot_5,24,0.12,0.13
c2y,dot_5,24,0.103,0.073
answer,dot_5,25,0.08,0.064
x,dot_5,25,0.127,0.096
c1x,dot_5,25,0.09,0.102
y,dot_5,25,0.095,0.102
c2y,dot_5,25,0.078,0.063
answer,dot_5,26,0.1,0.082
x,dot_5,26,0.177,0.11
c1x,dot_5,26,0.089,0.102
y,dot_5,26,0.096,0.095
c2y,dot_5,26,0.102,0.087
answer,dot_5,27,0.101,0.089
x,dot_5,27,0.155,0.1
c1x,dot_5,27,0.083,0.111
y,dot_5,27,0.094,0.098
c2y,dot_5,27,0.108,0.089
answer,dot_5,28,0.095,0.086
x,dot_5,28,0.115,0.084
c1x,dot_5,28,0.092,0.114
y,dot_5,28,0.11,0.097
c2y,dot_5,28,0.097,0.077
answer,dot_6,0,0.195,0.195
x,dot_6,0,0.127,0.127
c1x,dot_6,0,0.045,0.045
y,dot_6,0,0.048,0.048
c2y,dot_6,0,0.188,0.188
answer,dot_6,1,0.115,0.126
x,dot_6,1,0.119,0.089
c1x,dot_6,1,0.1,0.11
y,dot_6,1,0.11,0.107
c2y,dot_6,1,0.115,0.107
answer,dot_6,2,0.104,0.118
x,dot_6,2,0.094,0.089
c1x,dot_6,2,0.112,0.106
y,dot_6,2,0.11,0.119
c2y,dot_6,2,0.101,0.118
answer,dot_6,3,0.097,0.103
x,dot_6,3,0.095,0.097
c1x,dot_6,3,0.137,0.12
y,dot_6,3,0.135,0.127
c2y,dot_6,3,0.09,0.11
answer,dot_6,4,0.106,0.089
x,dot_6,4,0.097,0.087
c1x,dot_6,4,0.127,0.115
y,dot_6,4,0.12,0.126
c2y,dot_6,4,0.103,0.111
answer,dot_6,5,0.113,0.09
x,dot_6,5,0.107,0.101
c1x,dot_6,5,0.108,0.114
y,dot_6,5,0.101,0.1
c2y,dot_6,5,0.102,0.112
answer,dot_6,6,0.099,0.108
x,dot_6,6,0.096,0.102
c1x,dot_6,6,0.117,0.129
y,dot_6,6,0.127,0.113
c2y,dot_6,6,0.09,0.088
answer,dot_6,7,0.106,0.091
x,dot_6,7,0.086,0.092
c1x,dot_6,7,0.11,0.131
y,dot_6,7,0.134,0.134
c2y,dot_6,7,0.104,0.087
answer,dot_6,8,0.095,0.089
x,dot_6,8,0.112,0.095
c1x,dot_6,8,0.094,0.094
y,dot_6,8,0.114,0.12
c2y,dot_6,8,0.086,0.091
answer,dot_6,9,0.087,0.079
x,dot_6,9,0.099,0.096
c1x,dot_6,9,0.098,0.091
y,dot_6,9,0.095,0.096
c2y,dot_6,9,0.084,0.1
answer,dot_6,10,0.085,0.08
x,dot_6,10,0.107,0.112
c1x,dot_6,10,0.105,0.097
y,dot_6,10,0.094,0.109
c2y,dot_6,10,0.088,0.088
answer,dot_6,11,0.102,0.101
x,dot_6,11,0.105,0.103
c1x,dot_6,11,0.112,0.117
y,dot_6,11,0.106,0.109
c2y,dot_6,11,0.09,0.096
answer,dot_6,12,0.116,0.101
x,dot_6,12,0.086,0.103
c1x,dot_6,12,0.107,0.121
y,dot_6,12,0.096,0.124
c2y,dot_6,12,0.113,0.101
answer,dot_6,13,0.104,0.108
x,dot_6,13,0.097,0.1
c1x,dot_6,13,0.117,0.114
y,dot_6,13,0.109,0.128
c2y,dot_6,13,0.103,0.101
answer,dot_6,14,0.103,0.096
x,dot_6,14,0.085,0.095
c1x,dot_6,14,0.091,0.082
y,dot_6,14,0.074,0.092
c2y,dot_6,14,0.107,0.099
answer,dot_6,15,0.092,0.107
x,dot_6,15,0.1,0.109
c1x,dot_6,15,0.11,0.115
y,dot_6,15,0.11,0.119
c2y,dot_6,15,0.098,0.081
answer,dot_6,16,0.095,0.117
x,dot_6,16,0.093,0.1
c1x,dot_6,16,0.111,0.095
y,dot_6,16,0.119,0.121
c2y,dot_6,16,0.096,0.098
answer,dot_6,17,0.099,0.092
x,dot_6,17,0.106,0.089
c1x,dot_6,17,0.115,0.111
y,dot_6,17,0.11,0.113
c2y,dot_6,17,0.101,0.101
answer,dot_6,18,0.105,0.084
x,dot_6,18,0.095,0.103
c1x,dot_6,18,0.122,0.114
y,dot_6,18,0.103,0.12
c2y,dot_6,18,0.101,0.129
answer,dot_6,19,0.078,0.093
x,dot_6,19,0.094,0.094
c1x,dot_6,19,0.084,0.104
y,dot_6,19,0.078,0.091
c2y,dot_6,19,0.074,0.094
answer,dot_6,20,0.108,0.1
x,dot_6,20,0.101,0.093
c1x,dot_6,20,0.119,0.121
y,dot_6,20,0.11,0.125
c2y,dot_6,20,0.105,0.104
answer,dot_6,21,0.112,0.089
x,dot_6,21,0.079,0.09
c1x,dot_6,21,0.113,0.107
y,dot_6,21,0.093,0.114
c2y,dot_6,21,0.105,0.102
answer,dot_6,22,0.098,0.079
x,dot_6,22,0.07,0.088
c1x,dot_6,22,0.102,0.094
y,dot_6,22,0.086,0.099
c2y,dot_6,22,0.088,0.091
answer,dot_6,23,0.093,0.09
x,dot_6,23,0.087,0.091
c1x,dot_6,23,0.104,0.12
y,dot_6,23,0.099,0.1
c2y,dot_6,23,0.095,0.099
answer,dot_6,24,0.106,0.09
x,dot_6,24,0.198,0.087
c1x,dot_6,24,0.081,0.128
y,dot_6,24,0.089,0.115
c2y,dot_6,24,0.1,0.092
answer,dot_6,25,0.095,0.088
x,dot_6,25,0.198,0.101
c1x,dot_6,25,0.092,0.125
y,dot_6,25,0.082,0.106
c2y,dot_6,25,0.09,0.077
answer,dot_6,26,0.101,0.101
x,dot_6,26,0.336,0.113
c1x,dot_6,26,0.077,0.109
y,dot_6,26,0.082,0.107
c2y,dot_6,26,0.108,0.095
answer,dot_6,27,0.104,0.09
x,dot_6,27,0.191,0.1
c1x,dot_6,27,0.077,0.113
y,dot_6,27,0.088,0.086
c2y,dot_6,27,0.099,0.095
answer,dot_6,28,0.098,0.097
x,dot_6,28,0.192,0.092
c1x,dot_6,28,0.1,0.144
y,dot_6,28,0.1,0.131
c2y,dot_6,28,0.095,0.103
answer,dot_7,0,0.195,0.195
x,dot_7,0,0.127,0.127
c1x,dot_7,0,0.045,0.045
y,dot_7,0,0.048,0.048
c2y,dot_7,0,0.188,0.188
answer,dot_7,1,0.117,0.123
x,dot_7,1,0.109,0.098
c1x,dot_7,1,0.095,0.102
y,dot_7,1,0.108,0.112
c2y,dot_7,1,0.115,0.113
answer,dot_7,2,0.099,0.112
x,dot_7,2,0.088,0.08
c1x,dot_7,2,0.124,0.113
y,dot_7,2,0.133,0.111
c2y,dot_7,2,0.107,0.117
answer,dot_7,3,0.1,0.097
x,dot_7,3,0.09,0.089
c1x,dot_7,3,0.138,0.122
y,dot_7,3,0.133,0.125
c2y,dot_7,3,0.096,0.109
answer,dot_7,4,0.095,0.092
x,dot_7,4,0.086,0.083
c1x,dot_7,4,0.138,0.126
y,dot_7,4,0.136,0.133
c2y,dot_7,4,0.085,0.099
answer,dot_7,5,0.094,0.083
x,dot_7,5,0.109,0.099
c1x,dot_7,5,0.12,0.102
y,dot_7,5,0.105,0.104
c2y,dot_7,5,0.092,0.098
answer,dot_7,6,0.097,0.1
x,dot_7,6,0.091,0.087
c1x,dot_7,6,0.121,0.133
y,dot_7,6,0.126,0.114
c2y,dot_7,6,0.091,0.102
answer,dot_7,7,0.105,0.094
x,dot_7,7,0.099,0.092
c1x,dot_7,7,0.145,0.141
y,dot_7,7,0.14,0.139
c2y,dot_7,7,0.1,0.109
answer,dot_7,8,0.109,0.086
x,dot_7,8,0.115,0.097
c1x,dot_7,8,0.097,0.098
y,dot_7,8,0.11,0.118
c2y,dot_7,8,0.102,0.102
answer,dot_7,9,0.103,0.083
x,dot_7,9,0.087,0.104
c1x,dot_7,9,0.106,0.095
y,dot_7,9,0.112,0.106
c2y,dot_7,9,0.103,0.11
answer,dot_7,10,0.093,0.083
x,dot_7,10,0.093,0.104
c1x,dot_7,10,0.099,0.116
y,dot_7,10,0.091,0.094
c2y,dot_7,10,0.095,0.098
answer,dot_7,11,0.113,0.089
x,dot_7,11,0.097,0.104
c1x,dot_7,11,0.105,0.1
y,dot_7,11,0.102,0.112
c2y,dot_7,11,0.101,0.092
answer,dot_7,12,0.135,0.105
x,dot_7,12,0.094,0.09
c1x,dot_7,12,0.097,0.12
y,dot_7,12,0.087,0.119
c2y,dot_7,12,0.119,0.115
answer,dot_7,13,0.123,0.095
x,dot_7,13,0.093,0.108
c1x,dot_7,13,0.096,0.118
y,dot_7,13,0.089,0.121
c2y,dot_7,13,0.126,0.125
answer,dot_7,14,0.108,0.099
x,dot_7,14,0.089,0.096
c1x,dot_7,14,0.103,0.11
y,dot_7,14,0.103,0.118
c2y,dot_7,14,0.115,0.112
answer,dot_7,15,0.086,0.094
x,dot_7,15,0.099,0.117
c1x,dot_7,15,0.105,0.101
y,dot_7,15,0.089,0.113
c2y,dot_7,15,0.099,0.109
answer,dot_7,16,0.102,0.117
x,dot_7,16,0.101,0.102
c1x,dot_7,16,0.111,0.108
y,dot_7,16,0.104,0.118
c2y,dot_7,16,0.103,0.112
answer,dot_7,17,0.099,0.104
x,dot_7,17,0.102,0.09
c1x,dot_7,17,0.091,0.103
y,dot_7,17,0.097,0.099
c2y,dot_7,17,0.106,0.12
answer,dot_7,18,0.089,0.112
x,dot_7,18,0.116,0.097
c1x,dot_7,18,0.1,0.102
y,dot_7,18,0.092,0.1
c2y,dot_7,18,0.089,0.104
answer,dot_7,19,0.084,0.107
x,dot_7,19,0.089,0.097
c1x,dot_7,19,0.093,0.094
y,dot_7,19,0.089,0.091
c2y,dot_7,19,0.085,0.104
answer,dot_7,20,0.101,0.109
x,dot_7,20,0.108,0.105
c1x,dot_7,20,0.092,0.1
y,dot_7,20,0.088,0.099
c2y,dot_7,20,0.103,0.113
answer,dot_7,21,0.11,0.093
x,dot_7,21,0.105,0.103
c1x,dot_7,21,0.07,0.089
y,dot_7,21,0.078,0.093
c2y,dot_7,21,0.105,0.091
answer,dot_7,22,0.097,0.091
x,dot_7,22,0.088,0.088
c1x,dot_7,22,0.074,0.087
y,dot_7,22,0.087,0.092
c2y,dot_7,22,0.1,0.085
answer,dot_7,23,0.096,0.107
x,dot_7,23,0.099,0.115
c1x,dot_7,23,0.099,0.095
y,dot_7,23,0.104,0.088
c2y,dot_7,23,0.092,0.097
answer,dot_7,24,0.098,0.105
x,dot_7,24,0.126,0.107
c1x,dot_7,24,0.081,0.098
y,dot_7,24,0.092,0.096
c2y,dot_7,24,0.091,0.1
answer,dot_7,25,0.097,0.116
x,dot_7,25,0.102,0.113
c1x,dot_7,25,0.084,0.099
y,dot_7,25,0.087,0.091
c2y,dot_7,25,0.094,0.102
answer,dot_7,26,0.098,0.112
x,dot_7,26,0.181,0.103
c1x,dot_7,26,0.066,0.09
y,dot_7,26,0.071,0.083
c2y,dot_7,26,0.102,0.103
answer,dot_7,27,0.108,0.097
x,dot_7,27,0.148,0.089
c1x,dot_7,27,0.078,0.109
y,dot_7,27,0.083,0.078
c2y,dot_7,27,0.107,0.104
answer,dot_7,28,0.09,0.084
x,dot_7,28,0.124,0.085
c1x,dot_7,28,0.084,0.098
y,dot_7,28,0.095,0.107
c2y,dot_7,28,0.1,0.102
answer,dot_8,0,0.195,0.195
x,dot_8,0,0.127,0.127
c1x,dot_8,0,0.045,0.045
y,dot_8,0,0.048,0.048
c2y,dot_8,0,0.188,0.188
answer,dot_8,1,0.106,0.124
x,dot_8,1,0.102,0.094
c1x,dot_8,1,0.104,0.104
y,dot_8,1,0.111,0.108
c2y,dot_8,1,0.103,0.108
answer,dot_8,2,0.105,0.118
x,dot_8,2,0.098,0.093
c1x,dot_8,2,0.123,0.111
y,dot_8,2,0.128,0.114
c2y,dot_8,2,0.109,0.106
answer,dot_8,3,0.1,0.108
x,dot_8,3,0.101,0.086
c1x,dot_8,3,0.138,0.125
y,dot_8,3,0.133,0.123
c2y,dot_8,3,0.094,0.107
answer,dot_8,4,0.096,0.094
x,dot_8,4,0.098,0.092
c1x,dot_8,4,0.131,0.112
y,dot_8,4,0.113,0.112
c2y,dot_8,4,0.095,0.101
answer,dot_8,5,0.098,0.088
x,dot_8,5,0.093,0.091
c1x,dot_8,5,0.119,0.118
y,dot_8,5,0.117,0.113
c2y,dot_8,5,0.096,0.108
answer,dot_8,6,0.097,0.097
x,dot_8,6,0.088,0.081
c1x,dot_8,6,0.109,0.128
y,dot_8,6,0.118,0.106
c2y,dot_8,6,0.089,0.106
answer,dot_8,7,0.095,0.086
x,dot_8,7,0.087,0.091
c1x,dot_8,7,0.132,0.136
y,dot_8,7,0.133,0.129
c2y,dot_8,7,0.091,0.091
answer,dot_8,8,0.096,0.083
x,dot_8,8,0.114,0.1
c1x,dot_8,8,0.099,0.092
y,dot_8,8,0.111,0.109
c2y,dot_8,8,0.091,0.106
answer,dot_8,9,0.121,0.096
x,dot_8,9,0.101,0.105
c1x,dot_8,9,0.101,0.108
y,dot_8,9,0.098,0.104
c2y,dot_8,9,0.116,0.112
answer,dot_8,10,0.117,0.082
x,dot_8,10,0.098,0.097
c1x,dot_8,10,0.096,0.106
y,dot_8,10,0.083,0.098
c2y,dot_8,10,0.109,0.115
answer,dot_8,11,0.102,0.082
x,dot_8,11,0.109,0.103
c1x,dot_8,11,0.111,0.104
y,dot_8,11,0.099,0.109
c2y,dot_8,11,0.092,0.103
answer,dot_8,12,0.099,0.108
x,dot_8,12,0.107,0.098
c1x,dot_8,12,0.098,0.123
y,dot_8,12,0.092,0.114
c2y,dot_8,12,0.103,0.108
answer,dot_8,13,0.093,0.088
x,dot_8,13,0.112,0.09
c1x,dot_8,13,0.098,0.117
y,dot_8,13,0.095,0.098
c2y,dot_8,13,0.092,0.102
answer,dot_8,14,0.116,0.09
x,dot_8,14,0.101,0.103
c1x,dot_8,14,0.108,0.122
y,dot_8,14,0.114,0.103
c2y,dot_8,14,0.118,0.119
answer,dot_8,15,0.109,0.099
x,dot_8,15,0.117,0.101
c1x,dot_8,15,0.117,0.117
y,dot_8,15,0.12,0.118
c2y,dot_8,15,0.117,0.093
answer,dot_8,16,0.104,0.086
x,dot_8,16,0.091,0.11
c1x,dot_8,16,0.098,0.096
y,dot_8,16,0.106,0.103
c2y,dot_8,16,0.105,0.105
answer,dot_8,17,0.134,0.107
x,dot_8,17,0.097,0.097
c1x,dot_8,17,0.102,0.099
y,dot_8,17,0.096,0.105
c2y,dot_8,17,0.138,0.118
answer,dot_8,18,0.127,0.1
x,dot_8,18,0.089,0.102
c1x,dot_8,18,0.113,0.112
y,dot_8,18,0.102,0.105
c2y,dot_8,18,0.129,0.09
answer,dot_8,19,0.118,0.104
x,dot_8,19,0.094,0.096
c1x,dot_8,19,0.116,0.104
y,dot_8,19,0.118,0.12
c2y,dot_8,19,0.121,0.104
answer,dot_8,20,0.097,0.098
x,dot_8,20,0.092,0.093
c1x,dot_8,20,0.098,0.108
y,dot_8,20,0.105,0.106
c2y,dot_8,20,0.102,0.095
answer,dot_8,21,0.101,0.103
x,dot_8,21,0.105,0.091
c1x,dot_8,21,0.101,0.087
y,dot_8,21,0.097,0.102
c2y,dot_8,21,0.114,0.102
answer,dot_8,22,0.073,0.088
x,dot_8,22,0.083,0.083
c1x,dot_8,22,0.091,0.077
y,dot_8,22,0.083,0.078
c2y,dot_8,22,0.08,0.071
answer,dot_8,23,0.077,0.095
x,dot_8,23,0.094,0.09
c1x,dot_8,23,0.12,0.106
y,dot_8,23,0.114,0.1
c2y,dot_8,23,0.084,0.096
answer,dot_8,24,0.09,0.093
x,dot_8,24,0.4,0.084
c1x,dot_8,24,0.063,0.1
y,dot_8,24,0.073,0.097
c2y,dot_8,24,0.088,0.113
answer,dot_8,25,0.096,0.09
x,dot_8,25,0.367,0.092
c1x,dot_8,25,0.074,0.102
y,dot_8,25,0.079,0.101
c2y,dot_8,25,0.093,0.103
answer,dot_8,26,0.112,0.096
x,dot_8,26,0.467,0.11
c1x,dot_8,26,0.082,0.115
y,dot_8,26,0.082,0.11
c2y,dot_8,26,0.115,0.108
answer,dot_8,27,0.093,0.101
x,dot_8,27,0.285,0.092
c1x,dot_8,27,0.075,0.102
y,dot_8,27,0.077,0.105
c2y,dot_8,27,0.097,0.113
answer,dot_8,28,0.1,0.09
x,dot_8,28,0.214,0.088
c1x,dot_8,28,0.085,0.111
y,dot_8,28,0.092,0.112
c2y,dot_8,28,0.104,0.109
answer,dot_9,0,0.195,0.195
x,dot_9,0,0.127,0.127
c1x,dot_9,0,0.045,0.045
y,dot_9,0,0.048,0.048
c2y,dot_9,0,0.188,0.188
answer,dot_9,1,0.116,0.125
x,dot_9,1,0.1,0.112
c1x,dot_9,1,0.101,0.1
y,dot_9,1,0.108,0.112
c2y,dot_9,1,0.112,0.096
answer,dot_9,2,0.088,0.106
x,dot_9,2,0.074,0.081
c1x,dot_9,2,0.118,0.118
y,dot_9,2,0.127,0.109
c2y,dot_9,2,0.093,0.111
answer,dot_9,3,0.095,0.106
x,dot_9,3,0.083,0.1
c1x,dot_9,3,0.132,0.119
y,dot_9,3,0.134,0.121
c2y,dot_9,3,0.089,0.102
answer,dot_9,4,0.093,0.101
x,dot_9,4,0.098,0.108
c1x,dot_9,4,0.12,0.107
y,dot_9,4,0.106,0.126
c2y,dot_9,4,0.09,0.101
answer,dot_9,5,0.097,0.095
x,dot_9,5,0.106,0.093
c1x,dot_9,5,0.124,0.112
y,dot_9,5,0.111,0.109
c2y,dot_9,5,0.094,0.094
answer,dot_9,6,0.093,0.091
x,dot_9,6,0.091,0.089
c1x,dot_9,6,0.099,0.113
y,dot_9,6,0.108,0.102
c2y,dot_9,6,0.087,0.095
answer,dot_9,7,0.093,0.09
x,dot_9,7,0.1,0.093
c1x,dot_9,7,0.129,0.134
y,dot_9,7,0.127,0.139
c2y,dot_9,7,0.095,0.095
answer,dot_9,8,0.086,0.087
x,dot_9,8,0.12,0.09
c1x,dot_9,8,0.108,0.11
y,dot_9,8,0.113,0.118
c2y,dot_9,8,0.08,0.097
answer,dot_9,9,0.109,0.092
x,dot_9,9,0.116,0.089
c1x,dot_9,9,0.089,0.097
y,dot_9,9,0.089,0.116
c2y,dot_9,9,0.114,0.105
answer,dot_9,10,0.117,0.093
x,dot_9,10,0.091,0.105
c1x,dot_9,10,0.088,0.124
y,dot_9,10,0.087,0.105
c2y,dot_9,10,0.112,0.107
answer,dot_9,11,0.104,0.087
x,dot_9,11,0.104,0.103
c1x,dot_9,11,0.1,0.111
y,dot_9,11,0.099,0.109
c2y,dot_9,11,0.094,0.103
answer,dot_9,12,0.115,0.119
x,dot_9,12,0.099,0.095
c1x,dot_9,12,0.111,0.125
y,dot_9,12,0.104,0.122
c2y,dot_9,12,0.115,0.099
answer,dot_9,13,0.099,0.103
x,dot_9,13,0.105,0.088
c1x,dot_9,13,0.11,0.135
y,dot_9,13,0.105,0.112
c2y,dot_9,13,0.1,0.105
answer,dot_9,14,0.093,0.099
x,dot_9,14,0.097,0.095
c1x,dot_9,14,0.097,0.13
y,dot_9,14,0.099,0.106
c2y,dot_9,14,0.107,0.115
answer,dot_9,15,0.093,0.103
x,dot_9,15,0.105,0.104
c1x,dot_9,15,0.118,0.119
y,dot_9,15,0.114,0.115
c2y,dot_9,15,0.102,0.097
answer,dot_9,16,0.111,0.1
x,dot_9,16,0.111,0.115
c1x,dot_9,16,0.119,0.128
y,dot_9,16,0.115,0.112
c2y,dot_9,16,0.112,0.083
answer,dot_9,17,0.116,0.101
x,dot_9,17,0.102,0.113
c1x,dot_9,17,0.103,0.109
y,dot_9,17,0.102,0.107
c2y,dot_9,17,0.116,0.1
answer,dot_9,18,0.102,0.088
x,dot_9,18,0.113,0.102
c1x,dot_9,18,0.128,0.128
y,dot_9,18,0.106,0.127
c2y,dot_9,18,0.101,0.087
answer,dot_9,19,0.086,0.093
x,dot_9,19,0.097,0.099
c1x,dot_9,19,0.123,0.119
y,dot_9,19,0.117,0.123
c2y,dot_9,19,0.087,0.101
answer,dot_9,20,0.102,0.085
x,dot_9,20,0.112,0.103
c1x,dot_9,20,0.117,0.12
y,dot_9,20,0.109,0.114
c2y,dot_9,20,0.107,0.107
