target,position,layer,r2,r2_shuffled,r2_random
answer,final,16,0.9495137109411873,-0.008004781086613288,0.8882883489395497
s1,final,16,0.975792948246179,-0.010734034711380014,0.9115806833748649
s2,final,16,0.9532951594258514,-0.01839669995120663,0.886396720950884
answer~nonlin,final,16,0.04376670666939886,-0.011517243123861043,-0.007944235271319045
s1~nonlin,final,16,0.7121404033914127,-0.0035657557184616273,0.6627718865949724
s2~nonlin,final,16,0.04376670666939886,-0.008513219672549255,-0.007944235271318822
answer,final,18,0.9579267692935656,-0.00950136977861793,0.9138620749922073
s1,final,18,0.9682305146514278,-0.013389211690148395,0.8993917478440115
s2,final,18,0.9590352508644979,-0.01740201966099364,0.9087805909498428
answer~nonlin,final,18,0.44092384462863676,-0.009349969256000623,0.32536915751191564
s1~nonlin,final,18,0.7192086457759461,-0.0028093573275733696,0.6762323985457803
s2~nonlin,final,18,0.440923844628637,-0.008120590336373912,0.32536915751191575
answer,final,20,0.9441629858802788,-0.013589504612513847,0.8701044651947736
s1,final,20,0.9499994343585778,-0.009858184860205954,0.8709006255880014
s2,final,20,0.9393234507742342,-0.018900587585467532,0.8584714926670823
answer~nonlin,final,20,0.2410836553041228,-0.009705265004843922,0.15315262844753286
s1~nonlin,final,20,0.6994723293407685,-0.008031819089772574,0.65379105166583
s2~nonlin,final,20,0.24108365530412323,-0.007090738529938134,0.1531526284475333
answer,final,22,0.9563879456632516,-0.007128873768375232,0.8992900502577669
s1,final,22,0.9510865266122229,-0.005433552261543406,0.8554020264423977
s2,final,22,0.9540860496865484,-0.01645826528917249,0.8815034678904377
answer~nonlin,final,22,0.6636797464463497,-0.010263621495524955,0.48593558985147167
s1~nonlin,final,22,0.7288747306733585,-0.00686076868944685,0.6317288289153444
s2~nonlin,final,22,0.6636797464463502,-0.005060987822661511,0.4859355898514719
answer,final,24,0.9756329989556984,-0.002825765497862731,0.9494491825853114
s1,final,24,0.9726664336634887,-0.003520741750886458,0.9225409017449924
s2,final,24,0.9750989681687521,-0.014783101254807862,0.9414934921201824
answer~nonlin,final,24,0.8804446879833745,-0.015493918779478033,0.7081662292145356
s1~nonlin,final,24,0.7603287657008715,-0.012279977642167372,0.7000513339732164
